V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mturkcode,Q44,A_ACC,A_UNI,A_DEC,B_ACC,B_UNI,B_DEC,COFFEE,Q48,SEX,AGE,Q233,LocationLatitude,LocationLongitude,LocationAccuracy
R_a90cBgIhclpPkW1,Default Response Set,Anonymous,,,24.210.44.201,0,5/22/2014 8:48,5/22/2014 8:50,1,494,1,,,,,2,,2,1,1,25,1,40.12409973,-82.38279724,-1
R_aeJP3Hb4rvoqWMt,Default Response Set,Anonymous,,,71.72.108.51,0,5/22/2014 8:50,5/22/2014 8:50,1,90713,1,,3,,,,,2,1,1,21,1,41.39889526,-83.65390015,-1
R_4MYtv889Jtbcxy5,Default Response Set,Anonymous,,,98.242.242.169,0,5/22/2014 8:50,5/22/2014 8:50,1,43863,1,,,,,,2,2,1,1,24,1,25.60319519,-80.33470154,-1
R_6moZY53wPrBY4yp,Default Response Set,Anonymous,,,69.204.127.26,0,5/22/2014 8:50,5/22/2014 8:51,1,36907,1,,,,,,1,1,1,1,35,1,42.91969299,-78.87789917,-1
R_6m1Zao2ggVGXD3T,Default Response Set,Anonymous,,,74.40.121.130,0,5/22/2014 8:50,5/22/2014 8:51,1,94565,1,,,2,,,,1,1,1,23,1,39.35850525,-79.99839783,-1
R_88MES2DcMWU3bg1,Default Response Set,Anonymous,,,74.215.119.66,0,5/22/2014 8:51,5/22/2014 8:52,1,16566,1,,,,,,2,1,1,1,27,1,39.10929871,-84.62090302,-1
R_1IliN7s7XrZTPil,Default Response Set,Anonymous,,,65.32.248.93,0,5/22/2014 8:47,5/22/2014 8:52,1,45445,1,,2,,,,,1,1,1,20,1,27.94749451,-81.92040253,-1
R_8ButrRezGSzit7L,Default Response Set,Anonymous,,,173.234.43.202,0,5/22/2014 8:52,5/22/2014 8:53,1,44170,1,,,,,2,,1,1,1,34,1,41.6815033,-87.97059631,-1
R_7UQRC0Bdy2ckNPT,Default Response Set,Anonymous,,,71.127.131.205,0,5/22/2014 8:52,5/22/2014 8:53,1,24714,1,3,,,,,,2,1,2,27,1,37.60879517,-77.37329865,-1
R_3CardoNlwzX9HBb,Default Response Set,Anonymous,,,184.166.121.17,0,5/22/2014 8:52,5/22/2014 8:53,1,54324,1,3,,,,,,1,1,1,28,1,46.00920105,-112.4421005,-1
R_3sieLtk6by7fyG9,Default Response Set,Anonymous,,,24.154.179.241,0,5/22/2014 8:53,5/22/2014 8:53,1,99846,1,,,,3,,,1,1,2,28,1,40.91400146,-79.93199921,-1
R_0jrtqBmz1ukTkup,Default Response Set,Anonymous,,,69.81.76.181,0,5/22/2014 8:53,5/22/2014 8:53,1,1040,1,,,,,3,,1,1,2,20,1,41.02319336,-81.62799835,-1
R_0OhXJPuzcdIJEXj,Default Response Set,Anonymous,,,206.82.21.62,0,5/22/2014 8:54,5/22/2014 8:54,1,99921,1,,1,,,,,2,1,2,28,1,40.07539368,-76.31890106,-1
R_0ojKBu28Yhdl2K1,Default Response Set,Anonymous,,,50.155.23.79,0,5/22/2014 8:54,5/22/2014 8:55,1,86510,1,,,1,,,,2,1,1,26,1,33.79299927,-84.44319916,-1
R_9MsbVsa1kElwWHj,Default Response Set,Anonymous,,,69.136.238.198,0,5/22/2014 8:55,5/22/2014 8:56,1,65651,1,,,,,1,,1,1,1,24,1,39.13169861,-77.28800201,-1
R_38fEjb4iP5qJvTf,Default Response Set,Anonymous,,,74.74.177.129,0,5/22/2014 8:56,5/22/2014 8:56,1,84680,1,,,,,2,,1,1,2,31,1,43.12989807,-77.60820007,-1
R_4T0dpB8dGrf2GJD,Default Response Set,Anonymous,,,66.57.242.48,0,5/22/2014 8:55,5/22/2014 8:57,1,8417,1,1,,,,,,1,1,2,23,1,35.79150391,-78.78109741,-1
R_bmzYrHVlZN1glb7,Default Response Set,Anonymous,,,96.27.34.216,0,5/22/2014 8:56,5/22/2014 8:57,1,7708,1,,,,,1,,2,1,1,31,1,42.55870056,-83.00920105,-1
R_88tgyUMnzpisqqx,Default Response Set,Anonymous,,,68.207.202.166,0,5/22/2014 8:57,5/22/2014 8:57,1,62182,1,,,,,3,,1,1,1,21,1,32.61079407,-86.41960144,-1
R_5nB1EGoEaMGg2ax,Default Response Set,Anonymous,,,24.254.171.101,0,5/22/2014 8:56,5/22/2014 8:58,1,5564,1,,1,,,,,1,1,1,36,1,37.2519989,-79.97720337,-1
R_2tbpVms9UMTUQC1,Default Response Set,Anonymous,,,173.3.237.48,0,5/22/2014 8:57,5/22/2014 8:58,1,58629,1,,,2,,,,2,1,2,23,1,40.86740112,-72.79429626,-1
R_0pvBJGmZ0CBIUYt,Default Response Set,Anonymous,,,67.0.148.191,0,5/22/2014 8:57,5/22/2014 8:58,1,41121,1,,,,,,3,1,1,2,38,1,35.08450317,-106.6511002,-1
R_eKSyn0oScMHtJQx,Default Response Set,Anonymous,,,72.185.92.69,0,5/22/2014 8:56,5/22/2014 8:58,1,42359,1,,,2,,,,1,1,1,38,1,27.78990173,-82.6772995,-1
R_e8pSbFpC7YkEY05,Default Response Set,Anonymous,,,74.195.201.107,0,5/22/2014 8:59,5/22/2014 9:00,1,80519,1,,,,,1,,1,1,1,31,1,36.39810181,-97.96620178,-1
R_57OFw6A2fgE868J,Default Response Set,Anonymous,,,108.244.227.99,0,5/22/2014 9:00,5/22/2014 9:00,1,12253,1,,2,,,,,1,1,2,37,1,41.04550171,-81.5266037,-1
R_3kH1kj4mtrp8fEp,Default Response Set,Anonymous,,,50.29.237.124,0,5/22/2014 9:01,5/22/2014 9:01,1,49209,1,1,,,,,,2,1,2,40,1,40.79420471,-76.55760193,-1
R_bEm3MGD6EczFRsN,Default Response Set,Anonymous,,,67.190.218.225,0,5/22/2014 9:01,5/22/2014 9:01,1,4248,1,,,,3,,,1,1,1,30,1,30.06889343,-81.56210327,-1
R_erKFQXlyk15Uuu9,Default Response Set,Anonymous,,,65.26.120.43,0,5/22/2014 9:01,5/22/2014 9:01,1,7873,1,3,,,,,,1,1,2,32,1,39.14720154,-94.57350159,-1
R_7aO8cGhx1V5XH1P,Default Response Set,Anonymous,,,108.79.240.131,0,5/22/2014 9:01,5/22/2014 9:02,1,95589,1,,,,2,,,1,1,2,25,1,32.78140259,-97.09970093,-1
R_73dnFq3kbQ2PDAp,Default Response Set,Anonymous,,,69.119.228.147,0,5/22/2014 9:01,5/22/2014 9:02,1,65050,1,,1,,,,,2,1,1,22,1,40.64489746,-73.95829773,-1
R_8bLP3O641mrTtSR,Default Response Set,Anonymous,,,68.58.209.251,0,5/22/2014 9:02,5/22/2014 9:03,1,75380,1,,,,,,1,1,1,1,35,1,32.98779297,-80.00569916,-1
R_emT9RQUh3flJuuN,Default Response Set,Anonymous,,,205.128.224.6,0,5/22/2014 9:03,5/22/2014 9:05,1,30896,1,,,3,,,,1,1,2,26,1,39.29040527,-76.61219788,-1
R_6A8XZ67SvSmSRjn,Default Response Set,Anonymous,,,204.211.96.2,0,5/22/2014 9:05,5/22/2014 9:06,1,72848,1,,,,,2,,1,1,1,24,1,35.67999268,-77.91259766,-1
R_bJEeSCIuXFemay1,Default Response Set,Anonymous,,,12.163.97.74,0,5/22/2014 9:05,5/22/2014 9:06,1,32129,1,,3,,,,,2,1,1,26,1,44.98429871,-93.26540375,-1
R_beLErXmVvZdl1Tn,Default Response Set,Anonymous,,,24.21.18.134,0,5/22/2014 9:06,5/22/2014 9:07,1,83539,1,,,,,2,,1,1,1,29,1,45.55340576,-122.8191986,-1
R_8Cijg1kVeAQDTEx,Default Response Set,Anonymous,,,108.80.206.144,0,5/22/2014 9:09,5/22/2014 9:09,1,93159,1,,,,,2,,1,1,2,28,1,41.92059326,-87.7016983,-1
R_1LYDeeYbdpycBtX,Default Response Set,Anonymous,,,173.218.78.80,0,5/22/2014 9:10,5/22/2014 9:11,1,3656,1,,,2,,,,1,1,2,43,1,36.97839355,-93.23320007,-1
R_9TEHV4aYCVnCOwd,Default Response Set,Anonymous,,,68.62.110.197,0,5/22/2014 9:14,5/22/2014 9:14,1,42691,1,1,,,,,,1,1,1,18,1,42.67570496,-82.77729797,-1
R_0CxiRapYH01Fz8N,Default Response Set,Anonymous,,,68.143.32.150,0,5/22/2014 9:15,5/22/2014 9:17,1,57057,1,,,,,3,,1,1,1,37,1,37.98869324,-84.47769928,-1
R_74K9eIP1K59oSd7,Default Response Set,Anonymous,,,164.113.217.51,0,5/22/2014 9:18,5/22/2014 9:18,1,69318,1,,2,,,,,1,1,1,33,1,39.03930664,-95.20870209,-1
R_8wBhbQorHxZ5QYl,Default Response Set,Anonymous,,,67.191.72.117,0,5/22/2014 9:18,5/22/2014 9:19,1,20376,1,,,,,2,,1,1,1,21,1,27.15190125,-81.06109619,-1
R_1Lm6YA6CxrrOat7,Default Response Set,Anonymous,,,24.74.78.156,0,5/22/2014 9:20,5/22/2014 9:21,1,98812,1,,,3,,,,1,1,1,48,1,35.13110352,-80.85119629,-1
R_0VXK0Dfo5LKF6h7,Default Response Set,Anonymous,,,74.136.169.101,0,5/22/2014 9:22,5/22/2014 9:23,1,19718,1,,,,,3,,1,1,2,53,1,39.01629639,-84.59809875,-1
R_06WE6EvEsBkxvBH,Default Response Set,Anonymous,,,24.30.44.236,0,5/22/2014 9:23,5/22/2014 9:24,1,73475,1,3,,,,,,1,1,2,33,1,33.97210693,-84.4417038,-1
R_1YQq4PLI1hcDmdf,Default Response Set,Anonymous,,,68.53.70.11,0,5/22/2014 9:25,5/22/2014 9:25,1,63953,1,,,,3,,,1,1,1,28,1,35.92979431,-86.46050262,-1
R_dcjR7HVWftLMGB7,Default Response Set,Anonymous,,,71.29.170.74,0,5/22/2014 9:26,5/22/2014 9:27,1,87968,1,2,,,,,,2,1,1,22,1,41.31900024,-81.33529663,-1
R_6x2puIxac3BO5Ip,Default Response Set,Anonymous,,,192.119.217.122,0,5/22/2014 9:29,5/22/2014 9:29,1,38684,1,,,,,,2,1,1,1,28,1,40.78860474,-87.74810028,-1
R_bJJXECJhl3mALwp,Default Response Set,Anonymous,,,70.190.171.204,0,5/22/2014 9:29,5/22/2014 9:30,1,89977,1,,,3,,,,1,1,1,35,1,33.44839478,-112.0739975,-1
R_bqhRnSWf9PMtGkZ,Default Response Set,Anonymous,,,72.64.38.245,0,5/22/2014 9:33,5/22/2014 9:34,1,64180,1,,3,,,,,1,1,1,38,1,37.02990723,-76.34519958,-1
R_eqvrDpaHFzfGSXj,Default Response Set,Anonymous,,,208.108.81.45,0,5/22/2014 9:33,5/22/2014 9:35,1,4529,1,,,,,,3,1,1,2,35,1,41.49690247,-82.01760101,-1
R_3mC4auwLCfocZoN,Default Response Set,Anonymous,,,98.182.38.86,0,5/22/2014 9:34,5/22/2014 9:35,1,64383,1,,,,,,1,1,1,2,47,1,41.7039032,-72.5460968,-1
R_9ts8w4vICkNAIiV,Default Response Set,Anonymous,,,64.83.253.62,0,5/22/2014 9:35,5/22/2014 9:35,1,57927,1,1,,,,,,1,1,1,24,1,37.88789368,-88.90329742,-1
R_6JaMbnzPrv3EpHn,Default Response Set,Anonymous,,,142.197.199.3,0,5/22/2014 9:36,5/22/2014 9:37,1,32745,1,,1,,,,,1,1,1,22,1,29.05630493,-82.02570343,-1
R_dmL05H13b8nF2rX,Default Response Set,Anonymous,,,69.112.15.165,0,5/22/2014 9:37,5/22/2014 9:38,1,46670,1,,,,1,,,1,1,2,45,1,40.58329773,-73.9240036,-1
R_eti4fP2WIcZKGvH,Default Response Set,Anonymous,,,204.10.222.31,0,5/22/2014 9:38,5/22/2014 9:38,1,26078,1,,,3,,,,2,1,2,36,1,39.16200256,-84.45690155,-1
R_1Ii4Sv1GNafwVXn,Default Response Set,Anonymous,,,173.240.137.181,0,5/22/2014 9:38,5/22/2014 9:38,1,31528,1,,,,,2,,1,1,2,30,1,36.52780151,-86.00579834,-1
R_6LL7DVpEnIK2Zdb,Default Response Set,Anonymous,,,74.254.245.157,0,5/22/2014 9:38,5/22/2014 9:39,1,53856,1,,,,3,,,1,1,1,21,1,35.1546936,-86.60820007,-1
R_3jxtIH9PibWyZFz,Default Response Set,Anonymous,,,71.123.130.100,0,5/22/2014 9:38,5/22/2014 9:39,1,56186,1,3,,,,,,1,1,2,29,1,33.03059387,-96.99259949,-1
R_cYgQIrHmQuf4ujj,Default Response Set,Anonymous,,,74.65.172.205,0,5/22/2014 9:39,5/22/2014 9:40,1,98500,1,,,,2,,,1,1,2,43,1,42.9703064,-72.27999878,-1
R_d6yBadp2HX0eaFL,Default Response Set,Anonymous,,,132.235.94.40,0,5/22/2014 9:41,5/22/2014 9:41,1,59575,1,,1,,,,,2,1,2,40,1,39.30310059,-82.08280182,-1
R_8oDKb4DH6FjIMjH,Default Response Set,Anonymous,,,67.238.251.15,0,5/22/2014 9:41,5/22/2014 9:42,1,31284,1,,,,,,2,1,1,2,34,1,36.11459351,-78.46880341,-1
R_eCLcHQYRHFHmaot,Default Response Set,Anonymous,,,75.82.170.234,0,5/22/2014 9:41,5/22/2014 9:42,1,74070,1,,,1,,,,2,1,1,22,1,33.97610474,-118.1535034,-1
R_0kz5R6JJJawcSWN,Default Response Set,Anonymous,,,50.164.63.245,0,5/22/2014 9:42,5/22/2014 9:43,1,62708,1,1,,,,,,1,1,2,66,1,39.917099,-76.7256012,-1
R_4PJKPlDffBwNy2p,Default Response Set,Anonymous,,,108.69.208.182,0,5/22/2014 9:43,5/22/2014 9:44,1,29462,1,,,,3,,,1,1,2,31,1,37.98429871,-120.3899994,-1
R_2lb7OExhR5ZozTD,Default Response Set,Anonymous,,,97.89.35.226,0,5/22/2014 9:44,5/22/2014 9:45,1,70089,1,,,2,,,,1,1,1,28,1,38,-97,-1
R_9vpmbmZvKzkxMaN,Default Response Set,Anonymous,,,97.89.35.226,0,5/22/2014 9:45,5/22/2014 9:45,1,80365,1,,,,,,2,1,1,2,25,1,38,-97,-1
R_0IGRErtUpI6bAod,Default Response Set,Anonymous,,,209.188.98.225,0,5/22/2014 9:45,5/22/2014 9:46,1,58605,1,,,,,3,,1,1,2,38,1,45.71310425,-93.91459656,-1
R_dal9jzm3Bxc6YgR,Default Response Set,Anonymous,,,98.212.3.157,0,5/22/2014 9:45,5/22/2014 9:46,1,79449,1,,,,1,,,1,1,2,25,1,41.8493042,-87.67310333,-1
R_4VL7meRlzd4Tuvj,Default Response Set,Anonymous,,,76.183.135.10,0,5/22/2014 9:42,5/22/2014 9:47,1,80617,1,,1,,,,,1,1,2,22,1,32.91929626,-96.98200226,-1
R_5vzVPhR020QQdZr,Default Response Set,Anonymous,,,178.18.16.156,0,5/22/2014 9:46,5/22/2014 9:47,1,50389,1,3,,,,,,1,1,1,43,1,37.33380127,-121.8914948,-1
R_9GLNAELwDLgMaI5,Default Response Set,Anonymous,,,174.48.17.161,0,5/22/2014 9:47,5/22/2014 9:47,1,5050,1,,,,,,2,1,1,2,25,1,26.21200562,-80.26689911,-1
R_cTkUzm076zpM71H,Default Response Set,Anonymous,,,99.189.25.89,0,5/22/2014 9:47,5/22/2014 9:48,1,29245,1,,,,,,1,1,1,2,33,1,42.55459595,-82.917099,-1
R_d5LnZKDGZlSRRxb,Default Response Set,Anonymous,,,99.89.37.121,0,5/22/2014 9:47,5/22/2014 9:48,1,58063,1,,,3,,,,2,1,1,27,1,38.11289978,-122.1331024,-1
R_0vWYa6TtJLjJcXj,Default Response Set,Anonymous,,,108.193.223.1,0,5/22/2014 9:48,5/22/2014 9:49,1,11891,1,1,,,,,,2,1,1,24,1,34.0953064,-118.1269989,-1
R_7aEDk9mLrunRCq9,Default Response Set,Anonymous,,,50.201.134.194,0,5/22/2014 9:48,5/22/2014 9:49,1,91693,1,,,,,,2,2,1,1,24,1,40.22619629,-75.29309845,-1
R_0kcjc4vIUK7ix2l,Default Response Set,Anonymous,,,68.191.46.223,0,5/22/2014 9:49,5/22/2014 9:49,1,32811,1,,,1,,,,2,1,1,26,1,41.34179688,-73.23169708,-1
R_9ntylu3VdofVa0B,Default Response Set,Anonymous,,,76.26.53.148,0,5/22/2014 9:49,5/22/2014 9:50,1,75659,1,,,,,,1,1,1,2,52,1,25.60319519,-80.33470154,-1
R_9XJddlRyJxC7MWx,Default Response Set,Anonymous,,,98.254.222.89,0,5/22/2014 9:49,5/22/2014 9:50,1,30062,1,,,,,,2,1,1,1,29,1,25.77430725,-80.1937027,-1
R_d9YR6TaZMHZBA3z,Default Response Set,Anonymous,,,108.251.89.24,0,5/22/2014 9:55,5/22/2014 9:55,1,59975,1,,2,,,,,1,1,1,29,1,41.53840637,-81.57409668,-1
R_dpdE1FEITmqC1YV,Default Response Set,Anonymous,,,24.91.33.206,0,5/22/2014 9:55,5/22/2014 9:56,1,44817,1,,,,,,3,1,1,1,58,1,42.20680237,-70.9552002,-1
R_0ApCn3U97RfCu9L,Default Response Set,Anonymous,,,172.7.201.137,0,5/22/2014 9:56,5/22/2014 9:57,1,13429,1,,3,,,,,1,1,1,34,1,33.96380615,-118.2733994,-1
R_0SPCHs68YxqDUgJ,Default Response Set,Anonymous,,,108.34.171.211,0,5/22/2014 9:56,5/22/2014 9:57,1,58051,1,1,,,,,,2,1,1,43,1,41.36169434,-71.80239868,-1
R_cD9y1MG9QGH4lNP,Default Response Set,Anonymous,,,75.128.126.88,0,5/22/2014 9:56,5/22/2014 9:57,1,1369,1,,,2,,,,1,1,1,40,1,45.13769531,-85.09619904,-1
R_5vwhCSH5Im8URwx,Default Response Set,Anonymous,,,108.34.171.211,0,5/22/2014 9:57,5/22/2014 9:57,1,3444,1,,,,,,3,1,1,2,33,1,41.36169434,-71.80239868,-1
R_5muncVW0glO5cMd,Default Response Set,Anonymous,,,68.192.4.163,0,5/22/2014 9:56,5/22/2014 9:57,1,88737,1,,,,,,1,1,1,2,24,1,40.89129639,-73.84480286,-1
R_4ZAt5foZ79zp1vD,Default Response Set,Anonymous,,,70.176.19.203,0,5/22/2014 9:59,5/22/2014 10:00,1,22819,1,,,,,,3,1,1,1,31,1,33.32009888,-111.8739014,-1
R_00y1ZDydTZXmoWF,Default Response Set,Anonymous,,,73.52.5.147,0,5/22/2014 9:58,5/22/2014 10:01,1,45390,1,,,2,,,,2,1,1,19,1,40.6894989,-76.19580078,-1
R_5paZbykZrHT77Jr,Default Response Set,Anonymous,,,55.71.165.9,0,5/22/2014 10:00,5/22/2014 10:01,1,47476,1,3,,,,,,2,1,2,24,1,39.38470459,-85.90229797,-1
R_5AWWLzmugIurD0h,Default Response Set,Anonymous,,,107.137.76.13,0,5/22/2014 10:01,5/22/2014 10:02,1,95618,1,,,,2,,,1,1,2,25,1,38.05189514,-87.24849701,-1
R_eamflqUwRYTQm5n,Default Response Set,Anonymous,,,142.196.104.225,0,5/22/2014 10:02,5/22/2014 10:02,1,88475,1,,,,,,3,1,1,1,32,1,28.30690002,-81.42459869,-1
R_6ig6kblMPeJdwKF,Default Response Set,Anonymous,,,50.138.177.142,0,5/22/2014 10:02,5/22/2014 10:02,1,57483,1,,,,3,,,1,1,2,34,1,42.42810059,-71.05460358,-1
R_a8KFPp5wTIYKFgx,Default Response Set,Anonymous,,,173.63.205.191,0,5/22/2014 10:02,5/22/2014 10:03,1,38763,1,,3,,,,,1,1,2,23,1,40.67050171,-74.10639954,-1
R_5dUpXBQ2AGJsRjn,Default Response Set,Anonymous,,,173.20.57.57,0,5/22/2014 10:02,5/22/2014 10:03,1,12677,1,,,,,,1,1,1,1,23,1,41.56640625,-93.7405014,-1
R_cM8AJrMaoNlGvbL,Default Response Set,Anonymous,,,207.255.225.168,0,5/22/2014 10:02,5/22/2014 10:03,1,59238,1,,2,,,,,2,1,2,28,1,40.51719666,-78.36620331,-1
R_9tYyWK41xOIP4uV,Default Response Set,Anonymous,,,71.79.71.41,0,5/22/2014 10:02,5/22/2014 10:03,1,31181,1,,,,,3,,1,1,2,21,1,40.63909912,-83.59809875,-1
R_3xV97TmmqnLLy6x,Default Response Set,Anonymous,,,74.77.218.146,0,5/22/2014 10:02,5/22/2014 10:03,1,12954,1,1,,,,,,2,1,2,29,1,42.98640442,-78.72789764,-1
R_9v73QQSlXmKTjhz,Default Response Set,Anonymous,,,72.160.165.123,0,5/22/2014 10:02,5/22/2014 10:03,1,55365,1,,,1,,,,1,1,1,52,1,41.44569397,-82.18049622,-1
R_5jXpvWWzO0mAkDP,Default Response Set,Anonymous,,,107.5.177.245,0,5/22/2014 10:03,5/22/2014 10:03,1,37128,1,,1,,,,,1,1,1,24,1,42.92939758,-85.54560089,-1
R_9zWXUK38CqyFtYx,Default Response Set,Anonymous,,,47.16.57.147,0,5/22/2014 10:03,5/22/2014 10:03,1,43103,1,,,,,,2,1,1,2,25,1,40.84989929,-73.87689972,-1
R_7PSiuZqCEJX6Ueh,Default Response Set,Anonymous,,,71.57.4.154,0,5/22/2014 10:03,5/22/2014 10:04,1,68180,1,3,,,,,,1,1,2,22,1,41.60450745,-87.99559784,-1
R_4ORl0emhzplL7pj,Default Response Set,Anonymous,,,70.105.236.51,0,5/22/2014 10:03,5/22/2014 10:04,1,83375,1,,,,,,1,1,1,2,33,1,44.77250671,-69.95880127,-1
R_1YN8adGfHUvCCUd,Default Response Set,Anonymous,,,71.149.240.142,0,5/22/2014 10:04,5/22/2014 10:04,1,48278,1,,,2,,,,1,1,2,25,1,36.67529297,-121.610199,-1
R_07dc2vgXWKHTzXD,Default Response Set,Anonymous,,,99.127.196.17,0,5/22/2014 10:04,5/22/2014 10:05,1,3035,1,,,,3,,,1,1,1,31,1,35.92790222,-84.08519745,-1
R_4UU2UaAU1SJVTfL,Default Response Set,Anonymous,,,66.162.22.252,0,5/22/2014 10:04,5/22/2014 10:05,1,92986,1,,,,,1,,2,1,1,26,1,35.14950562,-90.0490036,-1
R_aY2ZjMy8rYQeBU1,Default Response Set,Anonymous,,,167.10.240.1,0,5/22/2014 10:03,5/22/2014 10:05,1,40128,1,3,,,,,,1,1,2,28,1,38.581604,-121.4944,-1
R_b8k5j1BdJOOsgdf,Default Response Set,Anonymous,,,71.68.86.197,0,5/22/2014 10:04,5/22/2014 10:05,1,35867,1,,1,,,,,1,1,2,24,1,35.10740662,-80.82579803,-1
R_0AI7hqYe3JXl04l,Default Response Set,Anonymous,,,172.8.109.122,0,5/22/2014 10:04,5/22/2014 10:05,1,64045,1,,,,1,,,2,1,2,24,1,36.13330078,-86.80370331,-1
R_9ztdtVwMQ4xbTh3,Default Response Set,Anonymous,,,71.68.86.197,0,5/22/2014 10:04,5/22/2014 10:05,1,60036,1,,,,,1,,1,1,1,24,1,35.10740662,-80.82579803,-1
R_eEcC0hE5snLQJHD,Default Response Set,Anonymous,,,107.31.50.9,0,5/22/2014 10:04,5/22/2014 10:05,1,43911,1,,,2,,,,1,1,2,47,1,38,-97,-1
R_6QNoQnW0YCpbGxn,Default Response Set,Anonymous,,,70.208.193.39,0,5/22/2014 10:05,5/22/2014 10:05,1,4341,1,,,,3,,,2,1,1,21,1,39.3381958,-84.11589813,-1
R_esTyzw20AGkF3mt,Default Response Set,Anonymous,,,204.22.230.74,0,5/22/2014 10:05,5/22/2014 10:05,1,11656,1,,,2,,,,2,1,1,26,1,42.73249817,-84.55549622,-1
R_eCCbI1ibpAT9bvv,Default Response Set,Anonymous,,,50.243.238.93,0,5/22/2014 10:05,5/22/2014 10:06,1,28959,1,,1,,,,,1,1,1,27,1,27.44670105,-80.32559967,-1
R_0uFEVPgeQB7S1NP,Default Response Set,Anonymous,,,75.73.244.233,0,5/22/2014 10:05,5/22/2014 10:06,1,7805,1,3,,,,,,1,1,1,26,1,44.8309021,-93.4598999,-1
R_39vpIPsLUxlywgR,Default Response Set,Anonymous,,,172.56.18.168,0,5/22/2014 10:05,5/22/2014 10:06,1,38603,1,,,,2,,,1,1,2,24,1,40.65010071,-73.94960022,-1
R_cVed9a9mXIFFaTP,Default Response Set,Anonymous,,,204.45.133.146,0,5/22/2014 10:05,5/22/2014 10:06,1,69121,1,,,,2,,,1,1,1,24,1,39.75250244,-104.9994965,-1
